"4797","sport ultimate"
"4809","limited tech"
"4896","plug-in hybrid ex premium"
"4898","sxl turbo"
"4945","homologado"
"4946","tecnico"
"4947","bc"
"4948","516 hv"
"4949","2627"
"4953","2.4 sport"
"4954","2.0t sport"
"4976","electric plus se"
"4977","electric plus limited"
"4986","essential"
"4996","turbo ultimate"
"49","se"
"4","gl"
"5021","2.0t ultimate"
"5034","turbo tech"
"5035","gt atlantica"
"5047","noir"
"5050","hybrid gl"
"5051","hybrid gls"
"5088","plug-in hybrid lx"
"5102","at4"
"5103","elevation"
"5104","preferred turbo"
"5109","electric plus preferred"
"5110","electric plus ultimate"
"5111","electric preferred"
"5112","electric ultimate"
"5113","hybrid essential"
"5114","hybrid luxury"
"5115","hybrid preferred"
"5142","e-sport"
"5153","minuit"
"5154","life"
"5166","ex designer collection"
"5178","outsider"
"5196","designer collection"
"53","touring"
"542","value"
"550","sierra sl"
"551","sierra sle"
"552","sierra slt"
"556","sle"
"571","diamond edition"
"572","envoy"
"574","ht"
"577","denali"
"579","gsi"
"5","glx"
"635","gt1"
"638","gtp"
"649","xl"
"668","gl sport"
"672","lwb"
"67","turbo"
"69","gt2"
"70","e"
"744","sel"
"748","signature"
"771","5.0"
"776","v6"
"853","swb"
"912","hybrid"
"92","gls"
"957","trek"
"96","ls"
"973","st"
"984","ve"
